Rank|ChatMessage
Bronze|diff stop uninstall bot the
Gold|clean mb game nice play
Gold|are team good game
Diamond|are team bro game trash useless
Gold|my uninstall the are ez
Bronze|stop diff game
Silver|clean my game team stop
Gold|diff afk game stop
Silver|nice are mb good mid my the
Diamond|quit the are useless garbo stop
Platinum|the clutch mid stop you good
Gold|stop gg mid you
Silver|stop ez team afk mid
Bronze|bro mid play game garbo
Platinum|my good team stop game
Bronze|the bro my quit
Gold|nice clutch team mid wp game
Platinum|glhf my bro clean nice
Silver|the thrower my are garbo ez stop
Silver|team are bot bro noob
Bronze|afk diff are you my game
Platinum|good team game wp play my
Bronze|save the wp stop mid
Gold|stop save the good my bro mb
Grandmaster|you team bro nice
Silver|ez you quit are
Platinum|my garbage trash stop game
Silver|bro are garbage team game
Silver|mid stop are garbage
Grandmaster|team clutch stop game bro
Gold|stop trash game
Gold|useless trash game mid
Silver|glhf bro stop game
Gold|my bot suck the ez
Platinum|stop mid clean
Gold|clean team mid bro
Gold|are good game
Diamond|quit team diff afk the
Gold|mb game are stop team
Silver|glhf mb are my
Bronze|useless you are play my thrower trash
Bronze|stop are clean my team
Gold|bro mid useless game
Gold|stop suck the mid my bot
Diamond|bro afk bot useless the
Diamond|bro team report
Gold|my you stop noob
Silver|play game my save you clutch
Platinum|you are nice the my save
Platinum|garbage game mid garbo uninstall
Bronze|nice play bro mid
Bronze|nice clean stop the game my gg
Gold|afk stop report play are
Gold|stop mb game clean nice my
Silver|game my nice play are clean
Silver|the save game glhf gg mid you
Gold|you my wp stop
Gold|team uninstall play
Gold|bro garbage play stop bot
Platinum|my are team bro wp
Gold|garbage report team are
Diamond|game are uninstall
Gold|are trash stop my mid
Silver|wp stop game mid clean good
Diamond|ez game bro
Bronze|mid wp play team
Silver|my garbage are suck ez
Bronze|quit the stop suck noob are game
Gold|noob useless bro mid diff
Gold|the are team wp clean play
Gold|gg my team clean nice
Silver|mid wp save you my
Gold|afk stop are the
Bronze|mid my stop team clean
Diamond|useless team stop noob are
Bronze|quit garbage garbo team stop you
Bronze|uninstall game team stop bro afk
Silver|mid garbo my
Gold|useless report team thrower bro
Gold|garbo thrower my game stop
Platinum|the are you report game
Platinum|nice stop my mid
Platinum|gg the play clutch
Silver|stop uninstall diff mid
Gold|my useless team you game diff noob
Bronze|ez mid report suck play
Silver|you stop team wp
Silver|uninstall game stop
Bronze|bro nice game my clutch
